Description,Priority
"""The carpet near the entrance is worn out and needs to be replaced to avoid tripping hazards.""",Medium
"""The office printer is having frequent paper jams and needs to be serviced.""",Medium
"""The office break room microwave needs cleaning as it smells of burnt food.""",Medium
"""The electrical outlets in the conference room are not all working and need to be checked.""",Medium
"""The office phone system has a static issue, and the calls are not coming through clearly.""",Medium
"""The office calendar system needs to be synced across all devices for accurate scheduling.""",Medium
"""The water cooler needs to be cleaned to avoid a build-up of bacteria.""",Medium
"""The shelves in the storage room are overcrowded and need to be reorganized.""",Medium
"""The office chairs have uneven height adjustments and need to be fixed.""",Medium
"""The building’s external door is getting stuck and needs to be adjusted to open easily.""",Medium
"""The air conditioning in the break room is too cold and needs to be set at a more comfortable temperature.""",Medium
"""The security cameras in the parking lot need to be checked for proper functioning.""",Medium
"""The supply cabinet is unorganized, and it’s hard to find necessary office materials.""",Medium
"""The trash cans in the kitchen need to be emptied more frequently during peak hours.""",Medium
"""The office whiteboard markers are running dry and need to be replaced.""",Medium
"""The door to the supply room is not locking correctly, and we need to secure it.""",Medium
"""The printer ink cartridges are running low and need to be replaced soon.""",Medium
"""The parking lot entrance has large potholes, which make driving difficult.""",Medium
"""The office Wi-Fi router needs a firmware update to improve speed and reduce dropped connections.""",Medium
"""The office’s coat rack is full, and employees are unable to hang their coats.""",Medium
"""The hallway exit signs are not well lit and need brighter bulbs to ensure visibility.""",Medium
"""The bathroom exhaust fan is not working and needs to be fixed.""",Medium
"""The meeting room projector needs calibration to improve the clarity of the display.""",Medium
"""The window blinds in the office are broken and need to be replaced.""",Medium
"""The office printer is missing paper, and it needs to be refilled.""",Medium
"""The chairs in the waiting area are not arranged properly and need to be aligned.""",Medium
"""The water supply in the men's restroom is weak and needs to be checked for a blockage.""",Medium
"""The air conditioning vent in the kitchen is not blowing cold air and needs to be cleaned.""",Medium
"""The restroom needs a new soap dispenser, as the current one is malfunctioning.""",Medium
"""The reception area seating is uncomfortable and needs to be replaced for better guest experience.""",Medium
"""The office TV is not working, and we need to check the cables.""",Medium
"""The whiteboard in the conference room is too small for large meetings and needs to be upgraded.""",Medium
"""The photocopier paper is running low and needs to be replenished before the meeting.""",Medium
"""The office air conditioning unit is leaking water, and it needs to be repaired.""",Medium
"""The overhead projector in the training room is outdated and needs to be replaced.""",Medium
"""The office bulletin board needs to be updated with the latest announcements.""",Low
"""There’s a small crack in the office window, but it doesn’t affect the view.""",Low
"""The coat rack in the entrance is slightly wobbly but still usable.""",Low
"""The trash can in the hallway is almost full and needs to be emptied.""",Low
"""The conference room needs a few extra chairs for large meetings.""",Low
"""The air conditioning in the break room is a bit noisy but functional.""",Low
"""The lights in the hallway are flickering intermittently.""",Low
"""The printer is missing one of its paper trays, but it still prints fine.""",Low
"""The office sink has a slow drain but still works.""",Low
"""There’s a slight stain on the office carpet that doesn’t affect the overall look.""",Low
"""The filing cabinet handle is loose but still works.""",Low
"""The office window blinds are slightly bent but still provide shade.""",Low
"""The parking lot needs some general cleanup, but it’s not causing any inconvenience.""",Low
"""The desk lamp in the meeting room flickers occasionally.""",Low
"""The water cooler is a bit low on water but still operational.""",Low
"""The whiteboard in the conference room has some marks that need to be wiped off.""",Low
"""The chairs in the lounge area could use a little rearranging.""",Low
"""The printer’s color settings need adjustment but it’s still printing fine.""",Low
"""The door to the restroom needs to be adjusted as it’s a little stiff.""",Low
"""The computer monitor in the front office needs its screen brightness adjusted.""",Low
"""The office décor could use a refresh, but it’s not an urgent issue.""",Low
"""The cleaning supplies are running low but still enough for the week.""",Low
"""The door to the storage closet squeaks when opened.""",Low
"""The conference room clock needs a battery replacement.""",Low
"""The office refrigerator could use some organization, but it’s not a priority.""",Low
"""There’s a bit of dust on the office furniture that could be wiped down.""",Low
"""The coat hook near the entrance is a little loose but still usable.""",Low
"""The door mat in front of the office entrance could be cleaned.""",Low
"""The paper towel dispenser in the restroom is not refilled, but it’s still functional.""",Low
"""There’s a small paper jam in the printer, but it’s easy to fix.""",Low
"""The whiteboard markers in the meeting room are getting low on ink.""",Low
"""The light switch in the hallway could use a little lubrication.""",Low
"""The door to the meeting room doesn’t close completely but can be used.""",Low
"""The chairs in the office kitchen could be rearranged for better space.""",Low
"""There’s a scratch on the office wall that doesn’t affect the overall appearance.""",Low
"""The desk drawers in the conference room are a bit hard to open.""",Low
"""The fax machine could use a small clean-up, but it’s still functional.""",Low
"""The office kitchen counter could be wiped down after use, but it’s not urgent.""",Low
"""The lounge area could use some rearrangement for better flow.""",Low
"""The office printer could be moved closer to the main desk for easier access.""",Low
"""The light in the bathroom could be brighter but works fine as is.""",Low
"""There’s a small pile of outdated magazines in the lobby that can be recycled.""",Low
"""The desk drawer in the lounge area is getting a little stuck and could use some oil.""",Low
"""The vending machine is slightly jammed, but it still works.""",Low
"""The office sign outside could be cleaned up a little.""",Low
"""The coat rack in the break room could use a little rearranging.""",Low
"""There are some old documents that could be archived but don’t require immediate attention.""",Low
"""The office door hinges need oiling, as they squeak occasionally.""",Low
"""There’s some minor peeling of paint in the storage closet that can be touched up later.""",Low
"""The office Wi-Fi router could be placed in a more central location, but it’s still working.""",Low
"""The desk in the conference room is cluttered and needs some tidying up.""",Low
"""The office bookshelf could be organized to fit more items.""",Low
"""There are some old flyers on the bulletin board that need to be removed.""",Low
"""The sink in the kitchen is not draining fast enough, but it’s still functional.""",Low
"""The fridge in the break room needs to be defrosted but is still working.""",Low
"""The restroom door handle could use some tightening but works fine.""",Low
"""The floor near the entrance has some scuff marks that can be cleaned.""",Low
"""The office window screen is slightly damaged but still keeps insects out.""",Low
"""The printer needs a paper tray refill soon, but there’s still enough paper for now.""",Low
"""The office TV needs the remote battery replaced but can still be operated manually.""",Low
"""There are some minor cracks in the bathroom tile, but they’re not a safety hazard.""",Low
"""The hallway air vent is a little dusty, but it doesn’t affect airflow.""",Low
"""The office door sign is slightly crooked and needs to be realigned.""",Low
"""The office is a bit cold, but the thermostat can be adjusted.""",Low
"""The restrooms could use a more frequent cleaning schedule, but it’s not urgent.""",Low
"""There’s a small dent in the wall, but it’s not noticeable unless closely inspected.""",Low
"""The chairs in the meeting room need to be rearranged for better seating.""",Low
"""The paper towel holder in the restroom needs to be fixed but is still functional.""",Low
"""The door mat outside the office could be washed but is still doing its job.""",Low
"""There’s a small crack in the ceiling, but it doesn’t pose any immediate risk.""",Low
"""The kitchen trash can needs to be emptied soon, but it’s not urgent.""",Low
"""The office plants need watering but can wait until tomorrow.""",Low
"""The paper shredder needs its waste bin emptied soon but still works fine.""",Low
"""There’s some dirt in the corner of the office that can be cleaned later.""",Low
"""The door to the storage closet is not fully closing, but it still locks properly.""",Low
"""The office clock could use a time adjustment but is not far off.""",Low
"""The coat rack could be cleaned, but it’s not causing any inconvenience.""",Low
"""The restroom soap dispenser is running low and should be refilled soon.""",Low
"""The conference room chairs could be adjusted for better comfort but don’t need immediate attention.""",Low
"""The reception area could be reorganized for a more welcoming atmosphere.""",Low
"""There are a few office supplies that need to be reordered but can wait until the stock runs out.""",Low
"""The lights in the break room flicker occasionally but still provide adequate light.""",Low
"""The office microwave needs to be cleaned but is still working fine.""",Low
"""There are some papers that need to be filed, but it’s not urgent.""",Low
"""The office whiteboard needs a fresh marker to be more visible, but it can be used for now.""",Low
"""The water dispenser needs a filter change but is still providing clean water.""",Low
"""There are some broken office supplies in the supply room that can be disposed of later.""",Low
"""The hallway light switches could use a little tidying up.""",Low
"""The office windows are a little dirty, but the sunlight is still coming through.""",Low
"""The conference room projector is slightly out of focus but still viewable.""",Low
"""The hallway floor could use a quick sweep, but it's not causing any problems.""",Low
"""The vending machine in the lobby needs a restock of snacks, but it still works.""",Low
"""The office phone is not charging properly but still has enough battery for the day.""",Low
"""The restroom faucet is dripping a little, but it’s not wasting too much water.""",Low
"""There’s a sticky spot on the kitchen counter that can be wiped down later.""",Low
"""The office entrance door could use a new coat of paint, but it’s not urgent.""",Low
"""The water cooler needs a cleaning but is still functional.""",Low
"""The paper towels in the restroom are running low but there’s still some left.""",Low
"""There’s a minor dent in the office refrigerator, but it still works fine.""",Low
"""The bulletin board in the hallway is slightly out of alignment but still usable.""",Low
"""The parking lot could use a little sweeping, but it’s still navigable.""",Low
"""The trash can near the front desk is full but can wait until the end of the day.""",Low
"""The kitchen sink is draining a bit slowly, but it's still functional.""",Low
"""The office clock is a few minutes fast but still tells the time accurately enough.""",Low
"""The lightbulb in the meeting room flickers occasionally but doesn't affect visibility.""",Low
"""The door handle in the storage closet is loose but still usable.""",Low
"""The curtains in the office are a little wrinkled but still block out the sun.""",Low
"""The window in the conference room has some dust on it, but the view is still clear.""",Low
"""The chairs in the lounge area could be rearranged but are not causing any obstruction.""",Low
"""The filing cabinet needs to be organized, but it’s not in immediate need of attention.""",Low
"""The restrooms could use a quick wipe down, but they are functional.""",Low
"""There’s a small mark on the wall near the break room, but it’s barely noticeable.""",Low
"""The air conditioner in the break room is a little noisy but still works.""",Low
"""The light in the supply closet is dim but still provides enough light to work.""",Low
"""There are some old boxes in the storage area that could be moved to create space.""",Low
"""The door to the lounge area is not closing completely but can be latched shut.""",Low
"""The printer’s paper tray is a little stuck but can still be opened with a little effort.""",Low
"""The office door mat could use a shake but is still serving its purpose.""",Low
"""The office walls could be touched up with paint, but they aren’t too noticeable.""",Low
"""There’s a small scratch on the conference table, but it’s not very visible.""",Low
"""The carpet near the entrance has some dirt on it, but it can be vacuumed later.""",Low
"""The coat rack is slightly leaning but still holds coats securely.""",Low
"""The office refrigerator could be organized better, but it's still working fine.""",Low
"""The meeting room projector remote is missing a battery but still works with manual controls.""",Low
"""The office sink could use a cleaning but isn't dirty enough to be a priority.""",Low
"""The microwave in the kitchen is slightly dirty but still working fine.""",Low
"""The office door could be realigned slightly, as it sticks when opening.""",Low
"""The storage shelves in the break room are getting cluttered but are still functional.""",Low
"""The restroom floor could use a quick mop, but it’s still clean enough.""",Low
"""The lounge area light is a bit dim but still functional.""",Low
"""The file drawers in the meeting room need organizing, but it’s not pressing.""",Low
"""The small office fan is a little noisy but still keeps the room cool.""",Low
"""The office printer needs to be recalibrated but still prints fine.""",Low
"""The office walls could use a little cleaning from fingerprints.""",Low
"""There are a few loose papers on the desk that could be filed away.""",Low
"""The entryway could use some rearranging, but it’s still passable.""",Low
"""The restroom soap dispenser is running low, but there’s enough for today.""",Low
"""The trash can in the break room could be replaced, but it’s still functional.""",Low
"""The fax machine is a bit slow but still operational.""",Low
"""The office whiteboard markers are starting to dry out but can still be used.""",Low
"""The phone charger in the office is not working well, but it’s still usable.""",Low
"""The lounge area chairs could be arranged in a more comfortable setup.""",Low
"""The printer paper size needs adjusting, but it still prints correctly.""",Low
"""The office door needs a new lock, but it still secures properly.""",Low
"""The coat rack needs some tightening but is still standing fine.""",Low
"""There’s a small crack in the hallway mirror but doesn’t affect the overall look.""",Low
"""The vending machine in the lobby needs restocking with more drink options.""",Low
"""The water cooler filter could be replaced soon, but it’s still functioning.""",Low
"""The lights in the hallways are a bit dim but still provide enough lighting.""",Low
"""The meeting room chairs could use a little cleaning, but they’re still fine.""",Low
"""The door to the office kitchen doesn’t shut completely, but it can still be closed.""",Low
"""There’s a small stain on the desk, but it can be cleaned later.""",Low
"""The filing cabinet is hard to open but can still be used.""",Low
"""The reception desk could use a bit of rearranging to make it look neater.""",Low
"""The restroom door lock is a bit tricky but still works.""",Low
"""There are some old magazines in the waiting area that could be recycled.""",Low
"""The water dispenser needs a new cup holder, but it still works fine.""",Low
"""The coat hook in the hallway could use a little tightening but still holds coats.""",Low
"""The air vent in the office could use a little dusting, but it’s not urgent.""",Low
"""The office chair has a small rip in the fabric, but it’s still comfortable.""",Low
"""The lights in the kitchen could be brighter, but it’s still functional.""",Low
"""The conference room could use a more decorative touch, but it’s not necessary right now.""",Low
"""There are some old files on the desk that can be filed away later.""",Low
"""The office thermostat could use a calibration, but the temperature is still comfortable.""",Low
"""The printer could use some new ink cartridges soon but still prints clearly.""",Low
"""The office plants need to be watered but can wait another day.""",Low
"""The conference room chairs could be adjusted for better comfort, but it’s not urgent.""",Low
"""The restroom mirror needs a quick wipe but is still reflective.""",Low
"""The office whiteboard could use a quick cleaning to remove old markings.""",Low
"""The paper shredder could use a quick clean-up, but it's not urgent.""",Low
"""The office desks could be rearranged for better flow, but it’s not a priority.""",Low
"""The printer paper tray could use a quick refill, but there’s still enough for today.""",Low
"""The kitchen cupboard could be organized better, but it’s not a priority.""",Low
"""The door to the meeting room could use a little oiling to stop the squeak.""",Low
"""The office windows could be cleaned, but they’re still letting in enough light.""",Low
"""The lounge area could use a few extra pillows for comfort.""",Low
"""The office door mat could use a clean but is still functional.""",Low
"""There are some old office supplies that can be recycled but are not urgent.""",Low
"""The restroom door handle is a little loose but still works fine.""",Low
"""The restroom door handle is a little loose but still works fine.""",Low
"""The window blinds in the break room could be adjusted for better light control.""",Low
"""The office chairs could use a little lubrication for smoother movement.""",Low
"""The rest of the office could use a general tidying up, but it's not urgent.""",Low
"""There are a few paper clips on the floor that could be picked up later.""",Low
"""The storage closet is a little disorganized but still functional.""",Low
"""There’s a small hole in the wall that can wait for a patch.""",Low
"""The microwave in the kitchen could use a quick clean but still heats food fine.""",Low
"""There are some pens in the supply drawer that need refilling, but it’s not urgent.""",Low
"""The water cooler could use a quick wipe down but is still functioning.""",Low
"""The hallway sign is a little crooked but still visible.""",Low
"""The printer’s output tray could use a slight adjustment to prevent paper jams.""",Low
"""The door to the restroom could use a little cleaning but is still usable.""",Low
"""The entryway rug could be straightened but isn't a major issue.""",Low
